Masses:	m0 = 0.500000	m1 = 0.500000	
t	x0	y0	z0	x1	y1	z1	px0	py0	pz0	px1	py1	pz1	
3.00000000000000000000e+01	-9.80973297003720046128e-01	1.51307476330225432193e+00	8.23641393580832052897e-05	9.88084564400925069449e-01	-1.51356822054454420723e+00	7.90141102554965722802e-05	-1.41459540352978613287e-01	-1.86851709945394905965e-01	1.95634019300756011820e-04	1.41635305453998355807e-01	1.87423335482367670046e-01	-1.17410568616585568287e-04	
3.10000000000000000000e+01	-1.12080091002145820767e+00	1.30880111212716343516e+00	4.86431816098877500745e-04	1.12854417094344694483e+00	-1.30804019925315850870e+00	4.21812940378884468655e-05	-1.22640827779215227933e-01	-2.11172749979934709641e-01	4.21650698440405205351e-04	1.22974035418408372822e-01	2.11690795840043244347e-01	-6.64232316771826847160e-05	
3.20000000000000000000e+01	-1.23917641140609147143e+00	1.07862051242510958993e+00	1.07870040935694692236e-03	1.24746727415923430726e+00	-1.07678258559076156509e+00	1.16519350852622508561e-04	-9.91922655012874576741e-02	-2.34328107570892452127e-01	4.23147532257456824353e-04	9.93713521966377993921e-02	2.34804029717282453094e-01	-8.10713988152052630236e-05	
3.30000000000000000000e+01	-1.33121883395218509882e+00	8.22306489730569634133e-01	1.69177587782133815111e-03	1.33968692776172337844e+00	-8.19836314062043491901e-01	2.23316155775274692878e-04	-7.04922439298032721400e-02	-2.55205497614899190495e-01	4.39194481581806452693e-04	7.04788343218234608623e-02	2.55286427917368885510e-01	-1.34167252498790544107e-05	
3.40000000000000000000e+01	-1.39071809936915902206e+00	5.40601922379186361489e-01	2.22837363249193867037e-03	1.39911637858494874997e+00	-5.38229254052559724641e-01	3.88504704287817212958e-04	-3.62230667827227112432e-02	-2.71835666861133640193e-01	3.37383607171219299884e-04	3.61859196862634319158e-02	2.71792156115280958417e-01	1.52969086316820585599e-05	
3.50000000000000000000e+01	-1.41106313644728098566e+00	2.36773402528491438979e-01	2.67221056393973383641e-03	1.41883123405159250474e+00	-2.34723347110361024725e-01	4.28946404328740067604e-04	2.42957782941983363445e-03	-2.82323530209224349274e-01	2.66005361396484283840e-04	-2.77300479146899009342e-03	2.82184050900761040914e-01	-1.33345334458666889233e-04	
3.60000000000000000000e+01	-1.38588905452318900124e+00	-8.17484157978339842643e-02	2.85026222449517516178e-03	1.39298203308634360731e+00	8.37684804668447635656e-02	2.89387918570183566222e-04	4.41640563417175849303e-02	-2.84294407929056580642e-01	4.51417902094856623215e-05	-4.45015552193544980386e-02	2.84373378248193198203e-01	-1.67415643990253073820e-04	
3.70000000000000000000e+01	-1.31199791638100760061e+00	-4.02530263096685214652e-01	2.81200402983379418170e-03	1.31809742389893869152e+00	4.04464749797664446795e-01	3.97077974822829899912e-04	8.59644388570835471519e-02	-2.76584401556780767883e-01	-1.19760692641963592282e-04	-8.65553807390352369922e-02	2.76367740290964392091e-01	7.31791154975187062293e-05	
3.80000000000000000000e+01	-1.19129483055422680238e+00	-7.09330467971202471844e-01	2.57671372630781771521e-03	1.19614287780352990254e+00	7.10813120172100298966e-01	4.76409855000444045978e-04	1.25039013856168584882e-01	-2.59343898766318525784e-01	-2.65508592067955121428e-04	-1.25637994950009046491e-01	2.59078878774797738416e-01	-2.81139063608850330424e-05	
3.90000000000000000000e+01	-1.03112864141734572598e+00	-9.86989647840646022736e-01	2.26601765203071148572e-03	1.03457594114171591571e+00	9.88088935711411542329e-01	4.23234589485175117119e-04	1.58576557537005252696e-01	-2.33982431212782199248e-01	-1.87751483842326174784e-04	-1.59288218774418011137e-01	2.33656724150614864000e-01	-3.47650425199314526154e-04	
4.00000000000000000000e+01	-8.41177274172386968409e-01	-1.22668581344977711822e+00	1.79419508851477380040e-03	8.43453995248932608675e-01	1.22717459066084888519e+00	-2.43218447395211225231e-04	1.85074428699675774812e-01	-2.03441844419009032485e-01	-2.03133200783724534363e-04	-1.85544088667948803284e-01	2.03123120320007732875e-01	-4.05111071186435643503e-04	
4.10000000000000000000e+01	-6.31086891159250207295e-01	-1.42565315552518923070e+00	1.22281324785716068865e-03	6.32100832390394162807e-01	1.42551559575981356964e+00	-1.03014189784068140206e-03	2.04020952598443439108e-01	-1.70145802161107750905e-01	-2.80224300433890797374e-04	-2.04592172709303909972e-01	1.69801034124382410617e-01	-4.40966311895383265059e-04	
4.20000000000000000000e+01	-4.08249106080159185339e-01	-1.58496962149323739055e+00	4.96005878570040170325e-04	4.08042159092636413931e-01	1.58407313657713944011e+00	-1.86234483083726198860e-03	2.16218021732019510806e-01	-1.36288308192336893310e-01	-4.23877934640467038396e-04	-2.16677701635080793841e-01	1.35933242822139532802e-01	-4.83307392688759262459e-04	
4.30000000000000000000e+01	-1.78067733733271282848e-01	-1.70716810107217398240e+00	-3.74610477607310735429e-04	1.77029383137411067128e-01	1.70569382154163107224e+00	-2.74854896795094115133e-03	2.22566191229826876308e-01	-1.03490276454573898457e-01	-4.43893206497553919742e-04	-2.23033449690461321735e-01	1.03212718628740665605e-01	-4.57131419831400273926e-04	
4.40000000000000000000e+01	5.49471746933287152892e-02	-1.79541378956890818053e+00	-1.24154184826914554957e-03	-5.68455181999467651366e-02	1.79349447741729961514e+00	-3.56613857078804438044e-03	2.24224821893575593235e-01	-7.25399786821805947490e-02	-2.21955886124913272239e-04	-2.24563177753406034709e-01	7.23541017573549050113e-02	-4.24323573749578984715e-04	
4.50000000000000000000e+01	2.87696143120210523492e-01	-1.85259755188771002565e+00	-1.78421158476960422384e-03	-2.90064738754036044455e-01	1.85028371925876644610e+00	-4.22944237370275616383e-03	2.21967918515292572668e-01	-4.39600872919588617216e-02	-2.89606675553186069041e-04	-2.22081747864660422609e-01	4.37242150935581580518e-02	-3.31573240523770759389e-04	
4.60000000000000000000e+01	5.17591765602073206054e-01	-1.88160314811032081117e+00	-2.38086874611820710837e-03	-5.19909073844672553477e-01	1.87880816766974279020e+00	-4.83818617055770550800e-03	2.16945463488856210565e-01	-1.80327334910599552942e-02	-3.26091695516260828350e-04	-2.16891951530486210009e-01	1.78133300686260445667e-02	-3.03898900292788652720e-04	
4.70000000000000000000e+01	7.42251682766698839266e-01	-1.88501911782248332550e+00	-3.11649226797341104278e-03	-7.44400208202958824089e-01	1.88168571806936935076e+00	-5.56874882539447335628e-03	2.09464894641693322175e-01	5.26559556929860617114e-03	-4.06658748973917996174e-04	-2.09454522421921834896e-01	-5.51770264121429626636e-03	-3.69680788076253395713e-04	
4.80000000000000000000e+01	9.59718629082724428159e-01	-1.86514651197250946879e+00	-3.93924694594853085777e-03	-9.61818633640182385491e-01	1.86131573721542009636e+00	-6.37124601009083149639e-03	2.00324714821939336984e-01	2.61780900177647525562e-02	-4.20697261756592354176e-04	-2.00287625149091541576e-01	-2.64035776846495116865e-02	-4.24935689673866447569e-04	
4.90000000000000000000e+01	1.16862438627878972852e+00	-1.82419087150995107294e+00	-4.76220536354402240037e-03	-1.17061683513683956193e+00	1.81982939490998285592e+00	-7.14350758556357885720e-03	1.90018152918900562476e-01	4.45922841825108912106e-02	-4.57166999537770321442e-04	-1.89956539807015212240e-01	-4.48707950061521115837e-02	-3.58476258120381610379e-04	
5.00000000000000000000e+01	1.36781740269048612824e+00	-1.76438187283610803391e+00	-5.62905535189756923986e-03	-1.36959500944238010689e+00	1.75937327873228310793e+00	-7.91330420495792857816e-03	1.77916768541771325163e-01	6.06856350712257214264e-02	-4.72118041005840374195e-04	-1.78747895449902327591e-01	-6.10585531499995906590e-02	-3.74330079103704302119e-04	
5.10000000000000000000e+01	1.55492059522505332581e+00	-1.68755859504811156491e+00	-6.56964409098091325911e-03	-1.55836410223928645280e+00	1.68197821290894022894e+00	-8.68842834964161404854e-03	1.66144501668887473178e-01	7.49655251487319346237e-02	-5.32352978513443058153e-04	-1.66926685761332821434e-01	-7.51200768102108229485e-02	-3.63218386506557341063e-04	
5.20000000000000000000e+01	1.73038644236489713713e+00	-1.59542056546354560354e+00	-7.53653018970298210766e-03	-1.73563062656684996554e+00	1.58951141508115179057e+00	-9.41106193619054356980e-03	1.53787616646928748665e-01	8.73490753693078603170e-02	-5.19605976241732550429e-04	-1.54740253636902747036e-01	-8.75235111012475086589e-02	-7.58892531232673028807e-04	
5.30000000000000000000e+01	1.89361447336970534217e+00	-1.48974597364022010026e+00	-8.64263685818368598834e-03	-1.90076483910128790633e+00	1.48347468048998121226e+00	-1.07961402577626802007e-02	1.41392125556107500772e-01	9.81362536351248482269e-02	-4.80315879805036751501e-04	-1.42346173930516739503e-01	-9.82949320365691103785e-02	-7.22669794674705057332e-04	
5.40000000000000000000e+01	2.04416854214436005677e+00	-1.37202181535312517369e+00	-9.68135341038472811703e-03	-2.05331023128301737302e+00	1.36544558075809807640e+00	-1.21735860294267892595e-02	1.28873214747118686185e-01	1.07379548863250198765e-01	-4.35696043437819378712e-04	-1.29829246602442160974e-01	-1.07566174941289310896e-01	-7.52656043037374538653e-04	
5.50000000000000000000e+01	2.18174296911646870001e+00	-1.24403124542731946534e+00	-1.07303518857989645119e-02	-2.19287570521484642683e+00	1.23621576627986917707e+00	-1.35565901779929436077e-02	1.16345448582342136934e-01	1.15266527212251182477e-01	-4.69279852204140877740e-04	-1.17339116042888186309e-01	-1.16349555793239314849e-01	-7.60273142711214594026e-04	
5.60000000000000000000e+01	2.30608308068563294668e+00	-1.10720797530293579847e+00	-1.18593805452630648295e-02	-2.31922702207287168008e+00	1.09717011878799652891e+00	-1.49542216408434357894e-02	1.03898922056749776210e-01	1.21849183591962506590e-01	-5.45448333635386922377e-04	-1.04863288579679220236e-01	-1.22849343349674386405e-01	-7.34159129951721220637e-04	
5.70000000000000000000e+01	2.41709336668685326188e+00	-9.62396730052220927831e-01	-1.30760981453035707994e-02	-2.43216095333183623950e+00	9.50497966818364736774e-01	-1.63556274509226162728e-02	9.15671527629312587138e-02	1.27515330452637271064e-01	-5.96395237733766047858e-04	-9.24754987256936888951e-02	-1.28360752182792942078e-01	-7.08068020865254468127e-04	
5.80000000000000000000e+01	2.51468990209378606693e+00	-8.10839164002340129223e-01	-1.43503971555224204421e-02	-2.53157650272901202371e+00	7.97261733584351484083e-01	-1.77287752931800900169e-02	7.93925713768290491901e-02	1.31984688097470548307e-01	-6.13285115225381733707e-04	-8.02759552639991658118e-02	-1.32792015984239814008e-01	-6.47281853298575880068e-04	
5.90000000000000000000e+01	2.59883578937967607558e+00	-6.53756453218905075886e-01	-1.55040502628332414053e-02	-2.61748394989210408923e+00	6.38677791568824870794e-01	-1.89925715682526183303e-02	6.73973971425803480839e-02	1.35502478711044732629e-01	-5.65170664392586450005e-04	-6.82166094294107683282e-02	-1.36245217389801331898e-01	-6.57187934994952821163e-04	
6.00000000000000000000e+01	2.66959895094048071940e+00	-4.92314690611171890122e-01	-1.66716897716069969992e-02	-2.68986728624420567968e+00	4.75722626502629197809e-01	-2.02828523754812681257e-02	5.56354311400227979911e-02	1.38078070995571317026e-01	-5.49756017906077214599e-04	-5.63723158063511031735e-02	-1.38856418277720217169e-01	-6.56271539595176963376e-04	
6.10000000000000000000e+01	2.72702111166906746575e+00	-3.27460895187491884961e-01	-1.78143659120515579497e-02	-2.74879192674221561887e+00	3.09476213671890654222e-01	-2.15297369502570473676e-02	4.40552543170491944791e-02	1.39983226263838717029e-01	-5.53399022525307890917e-04	-4.47489308713615377422e-02	-1.40600486242465322340e-01	-6.24426636650623903893e-04	
6.20000000000000000000e+01	2.77120320694195010347e+00	-1.60105500211232154584e-01	-1.89642080261498841010e-02	-2.79439314133199134815e+00	1.40966293176533336018e-01	-2.27702385377711799541e-02	3.27024549177476128725e-02	1.41050645263665230811e-01	-5.55698387546937986464e-04	-3.33702501135163739909e-02	-1.41605149326145263178e-01	-6.39227174705271541238e-04	
6.30000000000000000000e+01	2.80225083145343845104e+00	8.74162444468601362857e-03	-2.01109959831296883359e-02	-2.82683664516885091444e+00	-2.89920494247959681378e-02	-2.40128333342644190163e-02	2.15723217542287959425e-02	1.41359109216882883331e-01	-5.56751360661436015161e-04	-2.22466307306582455894e-02	-1.41903033574180964527e-01	-6.21095187172775761546e-04	
